group location location_name species species_name length weight DDT_conc
1 1 Afluente 1 catfish 48 986 8.4
1 1 Afluente 1 catfish 45 1023 15
1 1 Afluente 1 catfish 49 1266 25
1 1 Afluente 1 catfish 50 1086 5.6
1 1 Afluente 1 catfish 46 1044 4.6
1 1 Afluente 1 catfish 52 1770 8.2
1 1 Afluente 1 catfish 48 1048 6.1
1 1 Afluente 1 catfish 51 1641 13
1 1 Afluente 1 catfish 48.5 1331 6
1 1 Afluente 1 catfish 51 1728 6.6
1 1 Afluente 1 catfish 44 917 5.5
1 1 Afluente 1 catfish 51 1398 11
1 1 Afluente 2 buffalo 49 1763 4.5
1 1 Afluente 2 buffalo 46 1459 4.2
1 1 Afluente 2 buffalo 52 2302 3
1 1 Afluente 2 buffalo 46 1614 2.3
1 1 Afluente 2 buffalo 46 1444 2.5
1 1 Afluente 2 buffalo 48 2006 6.8
1 1 Afluente 1 catfish 44.5 1133 2.6
1 1 Afluente 1 catfish 46 1139 3.1
1 1 Afluente 1 catfish 48 1186 3.5
1 1 Afluente 1 catfish 45 984 9.1
1 1 Afluente 1 catfish 43 965 7.8
1 1 Afluente 1 catfish 45 1084 4.1
1 1 Afluente 1 catfish 44 936 19
1 1 Afluente 1 catfish 42 1058 7.2
1 1 Afluente 1 catfish 42.5 800 6
1 1 Afluente 1 catfish 45.5 1087 10
1 1 Afluente 1 catfish 48 1329 12
1 1 Afluente 1 catfish 44 897 2.8
1 1 Afluente 3 bass 28.5 778 0.48
1 1 Afluente 3 bass 26 532 0.18
1 1 Afluente 3 bass 25.5 441 0.34
1 1 Afluente 3 bass 25 544 0.11
1 1 Afluente 3 bass 23 393 0.22
1 1 Afluente 3 bass 28 733 0.8
2 1 Afluente 1 catfish 41 961 8.7
2 1 Afluente 1 catfish 44 886 22
2 1 Afluente 1 catfish 41 678 13
2 1 Afluente 1 catfish 42 1011 3.5
2 1 Afluente 1 catfish 42.5 947 9.3
2 1 Afluente 1 catfish 44 989 21
1 1 Afluente 2 buffalo 43.5 1291 3.4
1 1 Afluente 2 buffalo 46.5 1186 13
1 1 Afluente 2 buffalo 43 1293 5.6
1 1 Afluente 2 buffalo 47 1709 12
1 1 Afluente 2 buffalo 46 1425 21
1 1 Afluente 2 buffalo 41 1176 8
1 2 CursoM 1 catfish 36 980 12
1 2 CursoM 1 catfish 47.5 1176 6
1 2 CursoM 1 catfish 41.5 989 4.7
1 2 CursoM 1 catfish 49.5 1084 31
1 2 CursoM 1 catfish 46 1115 5.2
1 2 CursoM 1 catfish 46.5 724 27
1 2 CursoM 1 catfish 36 847 18
1 2 CursoM 1 catfish 37 876 7.5
1 2 CursoM 1 catfish 35 844 3
1 2 CursoM 1 catfish 36 908 13
1 2 CursoM 1 catfish 48 1358 7.3
1 2 CursoM 1 catfish 49 1019 15
1 2 CursoM 2 buffalo 35.5 1300 1.3
1 2 CursoM 2 buffalo 46 1365 4.8
1 2 CursoM 2 buffalo 45 1437 5.1
1 2 CursoM 2 buffalo 44.5 1460 5.1
1 2 CursoM 2 buffalo 49 1671 4
1 2 CursoM 2 buffalo 47.5 1717 10
2 2 CursoM 1 catfish 35 613 12
2 2 CursoM 1 catfish 51 353 22
2 2 CursoM 1 catfish 42.5 909 10
2 2 CursoM 1 catfish 38 886 11
2 2 CursoM 1 catfish 41 890 17
2 2 CursoM 1 catfish 47 1031 9.7
2 2 CursoM 1 catfish 45 1083 12
2 2 CursoM 1 catfish 45.5 864 4.7
2 2 CursoM 1 catfish 45 886 6
2 2 CursoM 1 catfish 45 965 3.8
2 2 CursoM 1 catfish 39 537 17
2 2 CursoM 1 catfish 40.5 630 12
2 2 CursoM 2 buffalo 46 1486 1.4
2 2 CursoM 2 buffalo 47 1743 6.1
2 2 CursoM 2 buffalo 48.5 2061 2.8
2 2 CursoM 2 buffalo 48 1707 4.8
2 2 CursoM 2 buffalo 38 862 5.7
2 2 CursoM 2 buffalo 38.5 911 3.3
1 2 CursoM 1 catfish 40.5 741 28
1 2 CursoM 1 catfish 48 1151 7.7
1 2 CursoM 1 catfish 48 1186 2
1 2 CursoM 1 catfish 43.5 754 19
1 2 CursoM 1 catfish 40.5 679 16
1 2 CursoM 1 catfish 47.5 985 5.4
1 2 CursoM 1 catfish 42.5 732 10
1 2 CursoM 1 catfish 44 795 16
1 2 CursoM 1 catfish 41.5 547 23
1 2 CursoM 1 catfish 39 465 21
1 2 CursoM 1 catfish 50.5 1252 50
1 2 CursoM 1 catfish 52 1255 150
2 3 Desemboca 1 catfish 29.5 476 3.3
2 3 Desemboca 1 catfish 42 743 3.7
2 3 Desemboca 1 catfish 47.5 1128 9.9
2 3 Desemboca 1 catfish 43.5 848 6.8
2 3 Desemboca 1 catfish 47.5 1091 13
2 3 Desemboca 1 catfish 43.5 715 8.8
2 3 Desemboca 1 catfish 47.5 983 57
2 3 Desemboca 1 catfish 51.5 1251 96
2 3 Desemboca 1 catfish 49.5 1255 360
2 3 Desemboca 1 catfish 47 1152 130
2 3 Desemboca 1 catfish 47.5 1085 13
2 3 Desemboca 1 catfish 47 1118 61
2 3 Desemboca 2 buffalo 36 1285 12
2 3 Desemboca 2 buffalo 34.5 1178 33
2 3 Desemboca 2 buffalo 44.5 1492 48
2 3 Desemboca 2 buffalo 46 1524 10
2 3 Desemboca 2 buffalo 46 1473 44
2 3 Desemboca 2 buffalo 32.5 520 0.43
2 3 Desemboca 1 catfish 46 863 110
2 3 Desemboca 1 catfish 40 549 9.4
2 3 Desemboca 1 catfish 43.5 810 4.1
2 3 Desemboca 1 catfish 46.5 908 2.8
2 3 Desemboca 1 catfish 43 804 0.74
2 3 Desemboca 1 catfish 47.5 1179 14
2 3 Desemboca 1 catfish 32 556 22
2 3 Desemboca 1 catfish 40.5 659 9.1
2 3 Desemboca 1 catfish 51.5 1229 140
2 3 Desemboca 1 catfish 48 1050 4.2
2 3 Desemboca 1 catfish 47 952 12
2 3 Desemboca 1 catfish 41 826 2
2 3 Desemboca 2 buffalo 33.5 599 0.3
2 3 Desemboca 2 buffalo 47 1704 1.2
2 3 Desemboca 1 catfish 50 1207 7.1
2 3 Desemboca 1 catfish 45 911 180
2 3 Desemboca 1 catfish 49 1498 1.5
2 3 Desemboca 1 catfish 49.5 1496 2.4
2 3 Desemboca 1 catfish 50 1142 4.3
2 3 Desemboca 1 catfish 45 879 3.9
2 3 Desemboca 2 buffalo 32.5 525 0.99
2 3 Desemboca 2 buffalo 38 806 0.45
2 3 Desemboca 2 buffalo 38.5 694 2.5
2 3 Desemboca 2 buffalo 36 643 0.25
2 3 Desemboca 3 bass 26.5 514 0.58
2 3 Desemboca 3 bass 23.5 358 2
2 3 Desemboca 3 bass 30 856 2.2
2 3 Desemboca 3 bass 29 793 7.4
